Inventory ID,Workstream,Category,Asset Name,Asset Type,Format,Purpose,Launch Phase,Priority,Review Requirement
EI-INV-011,Shared Foundation,Brand & Sales,Sample deliverables packet,Portfolio packet,PDF,Demonstrate output quality without exposing confidential client material.,Sellable,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-012,Shared Foundation,Brand & Sales,Case study template,Template,DOCX,"Document context, governance gap, intervention, evidence, and outcome with approved claims.",Scale-ready,Medium,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-013,Shared Foundation,Brand & Sales,Testimonial and quotation release,Permission form,DOCX,Obtain explicit permission for public client statements.,Scale-ready,Medium,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-014,Shared Foundation,Commercial,Proposal template,Document,DOCX,"Convert qualified opportunities into a controlled offer with scope, deliverables, schedule assumptions, fees, and exclusions.",Sellable,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-015,Shared Foundation,Commercial,Pricing calculator,Spreadsheet,XLSX,"Calculate fees from systems, use cases, jurisdictions, participants, workshop days, and advisory intensity.",Sellable,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-016,Shared Foundation,Commercial,Statement of Work template,Contract exhibit,DOCX,"Define scope, deliverables, acceptance, responsibilities, assumptions, fees, and change control.",Sellable,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-017,Shared Foundation,Commercial,Master Services Agreement template,Contract,DOCX,"Set baseline commercial, confidentiality, liability, IP, payment, dispute, and termination terms.",Sellable,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-018,Shared Foundation,Commercial,Mutual NDA template,Contract,DOCX,Protect confidential information during evaluation and delivery.,Sellable,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-019,Shared Foundation,Commercial,Data-processing and security addendum,Contract exhibit,DOCX,"Define treatment of client data, access, retention, deletion, security, and subprocessors.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-020,Shared Foundation,Commercial,AI-assistance disclosure,Disclosure,DOCX,State where AI may support drafting or analysis and how human review and confidentiality are handled.,Sellable,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-021,Shared Foundation,Commercial,Professional-services disclaimer,Disclosure,DOCX,"State that work is governance implementation guidance, not legal advice, certification, or audit attestation.",Sellable,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-022,Shared Foundation,Commercial,Change-order form,Form,XLSX,"Control additions to scope, schedule, deliverables, or participants.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-023,Shared Foundation,Commercial,Acceptance and sign-off form,Form,XLSX,"Record client acceptance, open exceptions, and closeout status.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-024,Shared Foundation,Commercial,Invoice and payment schedule standard,Policy,DOCX,"Define deposit, milestone, monthly, late-payment, and expense handling.",Sellable,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-025,Shared Foundation,Commercial,Cancellation and rescheduling terms,Policy,DOCX,"Set treatment of workshop dates, participant changes, travel, and postponed work.",Sellable,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-026,Shared Foundation,Commercial,Travel and expense policy,Policy,DOCX,Define when travel is billable and what approvals are required.,Sellable,Medium,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-027,Shared Foundation,Commercial,Procurement packet index,Checklist,XLSX,"Organize vendor forms, tax documentation, insurance, security answers, and contracting materials.",Sellable,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-028,Shared Foundation,Delivery Operations,Project kickoff agenda,Template,DOCX,"Confirm objectives, scope, roles, evidence, schedule, communication, and decision rights.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-029,Shared Foundation,Delivery Operations,Client responsibility matrix,RACI,XLSX,"Clarify sponsor, system owner, evidence owner, legal reviewer, approvers, and participants.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-030,Shared Foundation,Delivery Operations,Stakeholder register,Register,XLSX,"Track stakeholder roles, authority, availability, conflicts, and communications.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-031,Shared Foundation,Delivery Operations,Engagement workplan,Project plan,XLSX,"Sequence activities, dependencies, reviews, milestones, and acceptance points.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-032,Shared Foundation,Delivery Operations,"Risk, issue, assumption, and dependency log",RAID log,XLSX,Maintain a single controlled record of delivery conditions and decisions.,Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-033,Shared Foundation,Delivery Operations,Decision log,Register,XLSX,"Capture decisions, decision owner, rationale, evidence, and effective date.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-034,Shared Foundation,Delivery Operations,Meeting notes template,Template,DOCX,"Record attendees, decisions, actions, evidence requests, and open issues.",Delivery-ready,Medium,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-035,Shared Foundation,Delivery Operations,Action register,Tracker,XLSX,"Track action owner, due date, status, evidence, and escalation.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-036,Shared Foundation,Delivery Operations,Client portal folder structure,Information architecture,XLSX,"Create a consistent secure structure for intake, evidence, working files, drafts, finals, and closeout.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-037,Shared Foundation,Delivery Operations,File naming and version-control standard,Standard,DOCX,Prevent draft confusion and preserve review history.,Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-038,Shared Foundation,Delivery Operations,Document quality-control checklist,Checklist,XLSX,"Verify claims, source traceability, confidentiality, versioning, acceptance criteria, and visual quality.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-039,Shared Foundation,Delivery Operations,Executive review checklist,Checklist,XLSX,"Ensure findings are material, decision-relevant, evidence-bound, and free of certification overreach.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-040,Shared Foundation,Delivery Operations,Engagement closeout checklist,Checklist,XLSX,"Confirm final delivery, acceptance, access revocation, retention, deletion, lessons, and follow-on.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-041,Shared Foundation,Delivery Operations,Data return/deletion certificate,Certificate,DOCX,"Document return, retention, or deletion of client-provided materials at closeout.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-042,Shared Foundation,Delivery Operations,Lessons-learned template,Template,DOCX,"Capture delivery improvements, control refinements, and reusable knowledge.",Scale-ready,Medium,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-043,Shared Foundation,Quality & Claims,Claim discipline standard,Standard,DOCX,"Separate findings, observations, inferences, recommendations, and legal determinations.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-044,Shared Foundation,Quality & Claims,Source and citation protocol,Standard,DOCX,"Define authoritative sources, effective dates, quotation limits, and evidence traceability.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-045,Shared Foundation,Quality & Claims,Conflict-of-interest disclosure,Form,XLSX,Identify relationships that could impair independence or perceived neutrality.,Sellable,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-046,Shared Foundation,Quality & Claims,Independence and limitation statement,Disclosure,DOCX,"Explain scope limits, reliance on client evidence, and absence of assurance or certification.",Sellable,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-047,Shared Foundation,Quality & Claims,Confidentiality classification guide,Standard,DOCX,"Mark and handle public, client-confidential, restricted, and highly sensitive material.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-048,Shared Foundation,Quality & Claims,Accessibility standard,Standard,DOCX,"Set minimum accessibility requirements for documents, slides, workshops, and digital artifacts.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-049,Governance Assessment,Intake,Assessment scoping questionnaire,Questionnaire,XLSX,"Define systems, use cases, users, decisions, jurisdictions, interaction duration, and business goals.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-050,Governance Assessment,Intake,AI system profile,Form,XLSX,"Capture model, vendor, deployment, integrations, autonomy, users, outputs, and operational context.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-051,Governance Assessment,Intake,Use-case register,Register,XLSX,Enumerate AI-supported activities and identify consequential or trust-sensitive use cases.,Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-052,Governance Assessment,Intake,System boundary template,Diagram template,XLSX,"Define included components, actors, data flows, interfaces, vendors, and excluded boundaries.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-053,Governance Assessment,Intake,Stakeholder and authority map,Map,XLSX,"Identify owners, approvers, reviewers, affected users, and escalation authority.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-054,Governance Assessment,Evidence,Evidence request list,Checklist,XLSX,"Request policies, disclosures, UI flows, logs, tickets, tests, incidents, approvals, and training records.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-055,Governance Assessment,Evidence,Evidence index,Register,XLSX,"Track evidence ID, source, owner, date, confidentiality, relevance, and sufficiency.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-056,Governance Assessment,Evidence,Evidence sufficiency rubric,Rubric,XLSX,"Rate evidence as direct, indirect, incomplete, stale, contradictory, or unavailable.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-057,Governance Assessment,Evidence,Document review worksheet,Worksheet,XLSX,"Record control statements, actual practice, evidence, gaps, and follow-up.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-058,Governance Assessment,Discovery,Executive interview guide,Interview guide,DOCX,"Assess objectives, risk appetite, authority, accountability, and governance commitments.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-059,Governance Assessment,Discovery,Product and engineering interview guide,Interview guide,DOCX,"Assess architecture, model behavior, logging, releases, overrides, and control implementation.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-060,Governance Assessment,Discovery,"Legal, compliance, and risk interview guide",Interview guide,DOCX,"Assess obligations, controls, ownership, escalation, and evidence expectations.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-061,Governance Assessment,Discovery,User support and remedy interview guide,Interview guide,DOCX,"Assess complaints, appeal, correction, human escalation, and user communication.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-062,Governance Assessment,Analysis,Disclosure assessment checklist,Checklist,XLSX,"Evaluate timing, materiality, specificity, persistence, accessibility, and change disclosure.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-063,Governance Assessment,Analysis,Consent-boundary assessment,Checklist,XLSX,"Evaluate consent basis, granularity, revocation, consequences of refusal, and reuse of behavioral data.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-064,Governance Assessment,Analysis,Human-review assessment,Checklist,XLSX,"Evaluate trigger conditions, reviewer authority, competence, independence, timing, and override.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-065,Governance Assessment,Analysis,Accountability assessment,Checklist,XLSX,"Evaluate named ownership, decision rights, approvals, escalation, and executive responsibility.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-066,Governance Assessment,Analysis,User-remedy and contestability assessment,Checklist,XLSX,"Evaluate notice, correction, appeal, explanation, escalation, timeframes, and closure.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-067,Governance Assessment,Analysis,Longitudinal interaction governance assessment,Checklist,XLSX,"Evaluate memory, accumulated inference, trajectory effects, repeated reliance, retention, and monitoring.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-068,Governance Assessment,Analysis,Behavioral and interaction data assessment,Checklist,XLSX,"Evaluate collection, inference, purpose, minimization, access, retention, and downstream use.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-069,Governance Assessment,Analysis,Vendor and third-party governance assessment,Checklist,XLSX,"Evaluate contracts, subprocessor visibility, model changes, incident notice, evidence, and exit.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-070,Governance Assessment,Analysis,Governance maturity rubric,Rubric,XLSX,"Score control domains from ad hoc through defined, implemented, measured, and improving.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-071,Governance Assessment,Analysis,Control-effectiveness scoring model,Scoring model,XLSX,"Separate design adequacy, implementation, operating evidence, coverage, and residual risk.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-072,Governance Assessment,Analysis,Severity and priority model,Scoring model,XLSX,"Prioritize gaps by consequence, exposure, scale, reversibility, detectability, and control weakness.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-073,Governance Assessment,Outputs,Governance gap matrix,Core deliverable,XLSX,"Present each requirement, current state, evidence, gap, risk, and recommended control.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-074,Governance Assessment,Outputs,Priority risk register,Core deliverable,XLSX,"Rank material governance risks with owners, rationale, dependencies, and treatment options.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-075,Governance Assessment,Outputs,Executive findings report,Core deliverable,DOCX,"Explain scope, method, material findings, limitations, and decisions required.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-076,Governance Assessment,Outputs,Implementation roadmap,Core deliverable,XLSX,"Sequence immediate, 30-day, 90-day, and longer-term control work.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-077,Governance Assessment,Outputs,Remediation backlog,Backlog,XLSX,"Translate recommendations into implementation-ready epics, tasks, owners, and acceptance criteria.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-078,Governance Assessment,Outputs,Executive readout deck,Presentation,PPTX,Support leadership decision-making and formal acceptance of priorities.,Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-079,Governance Assessment,Outputs,Evidence appendix,Appendix,DOCX,Provide traceable support for findings without overloading the executive report.,Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-080,Governance Assessment,Outputs,Management response tracker,Tracker,XLSX,"Capture management agreement, disagreement, owner, due date, and accepted risk.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-081,Governance Assessment,Outputs,Assessment closeout memorandum,Memo,DOCX,"Record final scope, limitations, accepted findings, open evidence gaps, and follow-on decisions.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-082,Trust Receipt Workshop,Intake,Workshop pre-work questionnaire,Questionnaire,XLSX,"Identify the target action, system workflow, decision authority, users, and existing accountability artifacts.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-083,Trust Receipt Workshop,Intake,Participant role and authority matrix,RACI,XLSX,"Ensure the workshop includes people authorized to decide product, policy, legal, UX, and operational questions.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-084,Trust Receipt Workshop,Intake,Use-case selection rubric,Rubric,XLSX,"Choose a consequential, bounded, implementable pilot use case.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-085,Trust Receipt Workshop,Facilitation,Workshop agenda and timing plan,Agenda,DOCX,"Structure discovery, design, decisions, prototyping, backlog creation, and closeout.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-086,Trust Receipt Workshop,Facilitation,Facilitator guide,Guide,DOCX,"Provide prompts, decision rules, exercises, timing, and escalation for unresolved issues.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-087,Trust Receipt Workshop,Facilitation,Workshop participant workbook,Workbook,XLSX,"Capture decisions, fields, triggers, remedy paths, examples, and action owners.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-088,Trust Receipt Workshop,Design,Consequential action map,Map,XLSX,"Define the AI action, initiating actor, affected user, decision point, downstream consequence, and reversibility.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-089,Trust Receipt Workshop,Design,Authority control map,Map,XLSX,"Specify who may initiate, approve, review, override, suspend, and remediate each action.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-090,Trust Receipt Workshop,Design,Consequence class taxonomy,Taxonomy,XLSX,"Classify actions by materiality, reversibility, duration, scale, and rights impact.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-091,Trust Receipt Workshop,Design,Receipt issuance trigger matrix,Matrix,XLSX,"Define when a Trust Receipt is mandatory, optional, suppressed, regenerated, or escalated.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-092,Trust Receipt Workshop,Design,Human-review trigger matrix,Matrix,XLSX,"Define pre-action, post-action, sampled, exception, and user-requested review triggers.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-093,Trust Receipt Workshop,Design,Remedy pathway map,Map,XLSX,"Define correction, appeal, explanation, escalation, suspension, reversal, and closure routes.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-094,Trust Receipt Workshop,Schema,Trust Receipt core schema,Specification,DOCX,Define the minimum human-legible and machine-readable accountability record.,Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-095,Trust Receipt Workshop,Schema,Field dictionary,Data dictionary,XLSX,"Define each field, data type, source, required status, owner, sensitivity, and validation rule.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-096,Trust Receipt Workshop,Schema,Required/conditional/optional field matrix,Matrix,XLSX,Specify field requirements by consequence class and workflow state.,Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-097,Trust Receipt Workshop,Schema,Receipt status and lifecycle model,State model,XLSX,"Define draft, issued, acknowledged, contested, corrected, superseded, closed, and retained states.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-098,Trust Receipt Workshop,Schema,Machine-readable JSON Schema,JSON Schema,JSON,Enable implementation validation and interoperability.,Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-099,Trust Receipt Workshop,Schema,Human-readable receipt template,Template,DOCX,"Present action, authority, reason, evidence, review, remedy, and contact information clearly.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-100,Trust Receipt Workshop,Schema,Sample JSON receipt,Example,JSON,Demonstrate a conforming machine-readable instance.,Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-101,Trust Receipt Workshop,Schema,Sample receipts by consequence class,Example set,XLSX,Demonstrate how content changes as action severity and review requirements increase.,Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-102,Trust Receipt Workshop,Implementation,Receipt generation workflow,Process map,XLSX,"Map source events, field population, validation, approval, issuance, storage, and user delivery.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-103,Trust Receipt Workshop,Implementation,API and integration requirements,Technical requirements,DOCX,"Define endpoints, events, authentication, source systems, failure handling, and audit logs.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-104,Trust Receipt Workshop,Implementation,Validation rules,Ruleset,XLSX,"Define completeness, consistency, authority, timing, version, and consequence-class checks.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-105,Trust Receipt Workshop,Implementation,Exception and failure handling,Procedure,DOCX,"Define behavior when receipt creation, delivery, storage, review, or remedy fails.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-106,Trust Receipt Workshop,Implementation,Integrity and tamper-evidence requirements,Technical requirements,DOCX,"Define identifiers, timestamps, versioning, signatures/hashes where appropriate, and correction history.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-107,Trust Receipt Workshop,Implementation,Retention and access policy,Policy,DOCX,"Define retention class, user access, staff access, export, deletion, and litigation or regulatory holds.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-108,Trust Receipt Workshop,Implementation,Consent and disclosure language set,Copy set,DOCX,"Provide plain-language notices tied to receipt generation, access, review, and remedy.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-109,Trust Receipt Workshop,Implementation,Receipt interface wireframe,Wireframe,HTML,"Show placement, hierarchy, status, review action, remedy action, and accessibility.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-110,Trust Receipt Workshop,Testing,Conformance test suite,Test suite,XLSX,"Test required fields, triggers, authority, states, exceptions, user access, correction, and auditability.",Scale-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-111,Trust Receipt Workshop,Testing,Pilot acceptance criteria,Acceptance criteria,XLSX,Define measurable conditions for pilot readiness and completion.,Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-112,Trust Receipt Workshop,Outputs,Implementation backlog,Core deliverable,XLSX,"Convert design decisions into prioritized product, engineering, policy, UX, and evidence work.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-113,Trust Receipt Workshop,Outputs,Workshop decision log,Core deliverable,DOCX,"Record decided, deferred, disputed, and counsel-review items with owners.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-114,Trust Receipt Workshop,Outputs,Workshop summary report,Core deliverable,DOCX,"Summarize scope, design, unresolved issues, risks, and next-phase recommendation.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-115,Trust Receipt Workshop,Outputs,Pilot plan,Plan,DOCX,"Define pilot scope, users, environments, evidence, testing, timeline assumptions, and governance.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-116,Regulatory Crosswalk,Scoping,Jurisdiction and applicability questionnaire,Questionnaire,XLSX,"Capture markets, users, sectors, deployment dates, risk classifications, and organizational roles.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-117,Regulatory Crosswalk,Scoping,Crosswalk scope memorandum,Memo,DOCX,"Define included frameworks, systems, controls, evidence, assumptions, and exclusions.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-118,Regulatory Crosswalk,Scoping,Legal-counsel coordination protocol,Protocol,DOCX,Route legal interpretation questions to qualified counsel and preserve governance/legal boundaries.,Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-119,Regulatory Crosswalk,Source Management,Authoritative source register,Register,XLSX,"Track official source, version, effective date, jurisdiction, status, and citation.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-120,Regulatory Crosswalk,Source Management,Framework version and effective-date tracker,Tracker,XLSX,"Prevent use of stale, draft, superseded, or not-yet-effective requirements.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-121,Regulatory Crosswalk,Source Management,Requirement extraction worksheet,Worksheet,XLSX,"Capture obligation text, actor, action, condition, evidence, exception, and source reference.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-122,Regulatory Crosswalk,Source Management,Interpretation and ambiguity log,Register,XLSX,"Record ambiguous terms, competing readings, counsel flags, and chosen implementation assumption.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-123,Regulatory Crosswalk,Mapping,System and control inventory,Register,XLSX,Establish the actual controls being mapped rather than relying on policy statements alone.,Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-124,Regulatory Crosswalk,Mapping,Obligations matrix,Core deliverable,XLSX,"Organize applicable requirements by actor, system, risk, lifecycle, and evidence.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-125,Regulatory Crosswalk,Mapping,Control-to-requirement crosswalk,Core deliverable,XLSX,"Map each requirement to existing, partial, missing, or not-applicable controls.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-126,Regulatory Crosswalk,Mapping,Evidence-to-requirement map,Core deliverable,XLSX,"Identify what evidence demonstrates design, implementation, operation, review, and remediation.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-127,Regulatory Crosswalk,Mapping,Requirement overlap and conflict matrix,Matrix,XLSX,"Identify duplicative, reinforcing, conflicting, or jurisdiction-specific requirements.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-128,Regulatory Crosswalk,Mapping,Responsibility assignment matrix,RACI,XLSX,"Assign legal interpretation, control ownership, evidence production, approval, and monitoring.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-129,Regulatory Crosswalk,Analysis,Gap and readiness register,Register,XLSX,"Document missing controls, weak evidence, applicability uncertainty, and implementation dependencies.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-130,Regulatory Crosswalk,Analysis,Readiness heatmap,Visualization,XLSX,Provide executive visibility into requirement coverage and evidence strength.,Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
